patch,agent,pre_patch_matches,post_patch_matches,old_delta,blops_delta,model_a_error,model_b_error,model_c_error
12.06,Jett,5,19,0.0,0.0,45.59040655271202,45.448936849603975,45.44893685025036
12.06,Sage,1,9,0.0,0.0,45.93845436201596,45.853150610576286,46.75366047198645
12.06,Iso,1,1,0.0,0.0,9.833333333333314,9.833333333333314,9.833333333333314
12.06,Deadlock,3,1,0.0,0.0,10.861695929384268,10.281967575385721,10.281967575385721
12.07,Fade,59,85,0.0,0.0,39.23663015876143,39.21638360606029,39.21638360603189
12.07,Neon,147,176,0.0,0.0,35.819533939615624,35.82395017984583,35.82395017984583
12.07,Vyse,31,45,0.0,0.0,28.74464190218952,28.819768278885032,28.819768278885032
12.07,Kayo,12,8,0.0,0.0,38.309438706945464,38.460580897212566,38.460580897212566
12.07,Omen,93,129,0.0,0.0,31.598328594507635,31.594782689999246,31.594782689998784
12.07,Sova,61,54,0.0,0.0,34.69325397998739,34.60953955339659,34.60953955367119
12.07,Jett,19,17,0.0,0.0,41.57571938564363,41.55661470647389,41.556614706456244
12.07,Cypher,29,46,0.0,0.0,33.55903324506438,33.67762109704936,33.67762109666551
12.07,Viper,105,90,0.0,0.0,33.752731472570936,33.706516123134755,33.694715112324175
12.07,Skye,47,44,0.0,0.0,33.651049075305934,33.646448518209226,33.612623510277025
12.07,Veto,4,5,0.0,0.0,55.32201100890779,54.94329872961271,54.94329872961271
12.07,Chamber,27,27,0.0,0.0,41.82732390702719,41.760726403602014,41.760726403602014
12.07,Raze,42,44,0.0,0.0,46.79140678636167,46.89906307632845,46.86949969243756
12.07,Tejo,10,17,0.0,0.0,25.763625943985435,25.81318692223615,25.81318692223615
12.07,Astra,44,25,0.0,0.0,40.78230820901354,40.7885083825553,40.7885083825553
12.07,Waylay,18,36,0.0,0.0,37.928329635672554,37.89991301728059,37.91573737866386
12.07,Killjoy,14,18,0.0,0.0,23.55773404770812,23.468306813835632,23.46958376338293
12.07,Brimstone,21,39,0.0,0.0,35.62332710472623,35.65512403244583,35.65512403244583
12.07,Breach,6,20,0.0,0.0,28.381829341993694,28.348856531185525,28.348856531185525
12.07,Phoenix,37,27,0.0,0.0,39.52381424558881,39.53577163581091,39.53577163581091
12.07,Harbor,15,6,0.0,0.0,25.79979185019675,25.67602022112162,25.67602022112162
